ObservedAgentID;ContractID;InstrumentID;DefaultStatusOfTheInstrumentICR;DateOfTheDefaultStatusOfTheInstrumentICR;DateOfICRPastDueAmount;DateOfICRPastDueAmountNEV;ICRPastDueAmount;ICRPastDueAmountNEV;ExigibilityStatus;DateOfExigibilityStatus;DateOfExigibilityStatusNEV;RegularisationStatus;DateOfRegularisationStatus;DateOfRegularisationStatusNEV;UseOfCommitmentAmount
444555999;220-00-03978-37;220000000000;1;2019-09-19;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03979-38;220000000000;1;2019-11-05;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03980-39;220000000000;1;2019-12-13;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03981-40;220000000000;1;2019-12-16;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03982-41;60134340;1;2020-02-04;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03983-42;60278224;1;2020-03-10;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03984-43;60263369;1;2020-04-24;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03985-44;60292570;1;2020-04-28;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03986-45;60312374;1;2020-05-14;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03987-46;60499203;1;2020-06-29;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03988-47;60419175;1;2020-07-08;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03989-48;60442518;1;2020-07-13;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03990-49;60512236;1;2020-08-19;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03991-50;60527289;1;2020-09-01;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03992-51;60605903;1;2020-09-29;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03993-52;60662079;1;2020-10-14;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03994-53;60546790;1;2020-10-22;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03995-54;60641164;1;2020-12-03;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03996-55;60710074;1;2020-12-08;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03997-56;60759786;1;2020-12-14;2020-12-14;;566,21;;-5;;-5;0;;0;-5
444555999;220-00-03998-57;60810411;1;2020-12-22;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03999-58;60876085;1;2021-02-11;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04000-59;60942167;1;2021-03-19;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04001-60;61014515;1;2021-04-28;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04002-61;61071095;1;2021-06-01;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04003-62;61072412;1;2021-06-01;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04004-63;61135460;1;2021-07-13;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04005-64;61310161;1;2021-07-30;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04006-65;61200734;1;2021-08-06;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04007-66;61294502;1;2021-08-19;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04008-67;61311373;1;2021-08-26;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04009-68;61469102;1;2021-10-04;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04010-69;61477081;1;2021-10-05;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04011-70;61336332;1;2021-10-05;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04012-71;61501737;1;2021-11-08;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04013-72;61504464;1;2021-11-09;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04014-73;61610659;1;2021-12-13;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04015-74;61462735;1;2021-12-20;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04016-75;61632786;1;2022-01-06;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04017-76;61792838;1;2022-01-26;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04018-77;61740601;1;2022-02-03;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04019-78;61951674;1;2022-02-14;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04020-79;61984414;1;2022-03-02;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04021-80;62016544;1;2022-03-03;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04022-81;62079390;1;2022-03-09;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04023-82;62077370;1;2022-03-10;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04024-83;61959556;1;2022-03-10;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04025-84;62030890;1;2022-03-18;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04026-85;62018160;1;2022-03-29;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04027-86;62122234;1;2022-04-21;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04028-87;62080404;1;2022-04-27;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04029-88;62080202;1;2022-05-02;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04030-89;62363118;1;2022-05-10;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04031-90;62267330;1;2022-05-13;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04032-91;62278646;1;2022-05-31;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04033-92;62227924;1;2022-06-20;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04034-93;62434654;1;2022-06-30;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04035-94;62342910;1;2022-07-29;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04036-95;62744044;1;2022-08-26;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04037-96;62408786;1;2022-09-06;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04038-97;62805981;1;2022-09-22;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04039-01;62745155;1;2022-10-24;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04040-02;62864585;1;2022-11-17;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04041-03;62864888;1;2022-11-23;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04042-04;63001702;1;2022-12-19;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04043-05;62960373;1;2022-12-19;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04044-06;63712529;1;2023-04-03;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04045-07;63705556;1;2023-04-05;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04046-08;64022323;1;2023-06-20;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04047-09;64032124;1;2023-06-23;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04048-10;63957352;1;2023-07-03;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04049-11;63413748;1;2023-07-11;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04050-12;64305441;1;2023-07-11;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04051-13;64332117;1;2023-08-17;;;;0;-5;;-5;0;;0;-5
444555999;220-00-04052-14;64821359;1;2023-09-27;2023-09-27;;201,42;;-5;;-5;0;;0;-5
444555999;220-02-03249-70;220020000000;1;2003-02-21;;;;0;-5;;-5;0;;0;-5
444555999;220-02-03342-66;220020000000;1;2008-12-18;;;;0;-5;;-5;0;;0;-5
444555999;220-02-03381-08;220020000000;1;2008-07-09;;;;0;-5;;-5;0;;0;-5
444555999;220-02-03512-42;220020000000;1;2007-10-15;;;;0;-5;;-5;0;;0;-5
444555999;220-02-03545-75;220020000000;1;2009-06-25;;;;0;-5;;-5;0;;0;-5
444555999;220-02-03546-76;220020000000;1;2008-04-08;;;;0;-5;;-5;0;;0;-5
444555999;220-02-03592-25;220020000000;1;2004-10-28;;;;0;-5;;-5;0;;0;-5
444555999;220-02-03597-30;220020000000;1;2009-12-14;;;;0;-5;;-5;0;;0;-5
444555999;220-02-03978-23;220020000000;1;2019-09-19;;;;0;-5;;-5;0;;0;-5
444555999;220-02-03984-29;60263470;1;2020-04-24;;;;0;-5;;-5;0;;0;-5
444555999;220-02-03989-34;60442619;1;2020-07-13;;;;0;-5;;-5;0;;0;-5
444555999;220-02-03990-35;60512337;1;2020-08-19;;;;0;-5;;-5;0;;0;-5
444555999;220-02-03991-36;60527390;1;2020-09-01;;;;0;-5;;-5;0;;0;-5
444555999;220-02-03997-42;60759887;1;2020-12-14;;;;0;-5;;-5;0;;0;-5
444555999;220-02-04005-50;61310262;1;2021-07-30;;;;0;-5;;-5;0;;0;-5
444555999;220-02-04008-53;61311474;1;2021-08-26;;;;0;-5;;-5;0;;0;-5
444555999;220-02-04010-55;61477182;1;2021-10-05;;;;0;-5;;-5;0;;0;-5
444555999;220-02-04017-62;61792939;1;2022-01-26;;;;0;-5;;-5;0;;0;-5
444555999;220-02-04020-65;61984515;1;2022-03-02;;;;0;-5;;-5;0;;0;-5
444555999;220-02-04022-67;62079491;1;2022-03-09;;;;0;-5;;-5;0;;0;-5
444555999;220-02-04025-70;62030991;1;2022-03-18;;;;0;-5;;-5;0;;0;-5
444555999;220-02-04028-73;62080505;1;2022-04-27;;;;0;-5;;-5;0;;0;-5
444555999;220-02-04029-74;62080303;1;2022-05-02;;;;0;-5;;-5;0;;0;-5
444555999;220-02-04031-76;62267431;1;2022-05-13;;;;0;-5;;-5;0;;0;-5
444555999;220-02-04033-78;62228025;1;2022-06-20;;;;0;-5;;-5;0;;0;-5
444555999;220-02-04034-79;62434755;1;2022-06-30;;;;0;-5;;-5;0;;0;-5
444555999;220-02-04035-80;62343011;1;2022-07-29;;;;0;-5;;-5;0;;0;-5
444555999;220-02-04040-85;62864686;1;2022-11-17;;;;0;-5;;-5;0;;0;-5
